"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"10439","4696","Adzuki beans","Beans, adzuki, mature seeds, raw","15","oz","0.00","1.00","28.40","93","5.630","0.150","17.830","3.600","0.000","19.000","1.410","356.000","1.000","0.000","0.129","0.062","0.746","0.000","0.100","0.000","176.000","0.000","5.000","0.000","0.000","0.000","0.054","0.014","0.032","0.000","0.000","0.000",
"10440","4696","Adzuki beans","Beans, adzuki, mature seeds, raw","15","cup","48.00","0.00","197.88","648","39.140","1.040","123.910","25.000","0.000","130.000","9.810","2470.000","10.000","0.000","0.896","0.433","5.181","0.000","0.691","0.000","1225.000","0.000","33.000","0.000","0.000","0.000","0.376","0.099","0.223","0.000","0.000","0.000",
"10441","4697","Adzuki beans, boiled","Beans, adzuki, mature seeds, cooked, boiled, without salt","15","oz","0.00","1.00","28.40","36","2.130","0.030","7.020","2.100","0.000","8.000","0.570","151.000","2.000","0.000","0.033","0.018","0.203","0.000","0.027","0.000","34.000","0.000","2.000","0.000","0.000","0.000","0.010","0.003","0.006","0.000","0.000","0.000",
"10442","4697","Adzuki beans, boiled","Beans, adzuki, mature seeds, cooked, boiled, without salt","15","cup","48.00","0.00","231.93","294","17.300","0.230","56.970","16.800","0.000","64.000","4.600","1224.000","18.000","0.000","0.264","0.147","1.649","0.000","0.221","0.000","278.000","0.000","14.000","0.000","0.000","0.000","0.083","0.021","0.048","0.000","0.000","0.000",
"10443","4698","Adzuki beans, canned, sweetened","Beans, adzuki, mature seeds, canned, sweetened","15","oz","0.00","1.00","28.40","67","1.080","0.010","15.600","0.000","0.000","6.000","0.320","34.000","62.000","0.000","0.029","0.016","0.179","0.000","0.024","0.000","30.000","0.000","1.000","0.000","0.000","0.000","0.003","0.001","0.002","0.000","0.000","0.000",
"10444","4698","Adzuki beans, canned, sweetened","Beans, adzuki, mature seeds, canned, sweetened","15","cup","48.00","0.00","297.56","702","11.250","0.090","162.830","0.000","0.000","65.000","3.340","352.000","645.000","0.000","0.299","0.166","1.868","0.000","0.249","0.000","317.000","0.000","15.000","0.000","0.000","0.000","0.033","0.009","0.018","0.000","0.000","0.000",
"10445","4699","Adzuki beans, yokan","Beans, adzuki, yokan, mature seeds","15","oz","0.00","1.00","28.40","74","0.930","0.030","17.210","0.000","0.000","8.000","0.330","13.000","24.000","0.000","0.001","0.001","0.016","0.000","0.002","0.000","2.000","0.000","0.000","0.000","0.000","0.000","0.012","0.003","0.007","0.000","0.000","0.000",
"10446","4700","Baked beans, home prepared","Beans, baked, home prepared","15","oz","0.00","1.00","28.40","44","1.570","1.460","6.130","1.600","0.000","17.000","0.560","101.000","120.000","0.300","0.039","0.014","0.116","0.000","0.026","0.000","14.000","0.000","0.000","0.000","0.000","0.000","0.552","0.605","0.210","1.000","0.000","0.000",
"10447","4700","Baked beans, home prepared","Beans, baked, home prepared","15","cup","48.00","0.00","253.02","392","14.020","13.030","54.720","13.900","0.000","154.000","5.030","906.000","1068.000","2.800","0.344","0.124","1.032","0.000","0.228","0.000","121.000","0.000","0.000","0.000","0.000","0.000","4.928","5.396","1.872","13.000","0.000","0.000",
"10448","4701","Baked beans, canned","Beans, baked, canned, plain or vegetarian","15","oz","0.00","1.00","28.40","27","1.350","0.100","5.990","1.200","2.260","10.000","0.340","64.000","97.000","0.000","0.027","0.011","0.121","0.000","0.024","0.000","3.000","0.000","31.000","0.040","0.000","0.200","0.020","0.027","0.034","0.000","0.000","0.000",
