"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"8479","3801","Beef retail cuts, fat, cooked","Beef retail cuts, fat, cooked","12","oz","0.00","1.00","28.40","193","3.020","19.940","0.000","0.000","0.000","5.000","0.310","28.000","7.000","0.000","0.009","0.013","0.433","0.000","0.040","0.260","0.000","0.000","0.000","0.000","0.100","0.900","8.080","8.633","0.754","27.000","0.000","0.000",
"8480","3801","Beef retail cuts, fat, cooked","Beef retail cuts, fat, cooked","12","3.0 oz","0.00","3.00","85.20","578","9.050","59.780","0.000","0.000","0.000","16.000","0.920","84.000","20.000","0.000","0.026","0.039","1.299","0.000","0.119","0.760","0.000","0.000","0.000","0.000","0.300","2.600","24.225","25.882","2.261","81.000","0.000","0.000",
"8483","3804","Beef brisket, flat half, lean and fat, trimmed to 1/8&quot; fat, select, braised","Beef brisket, flat half, lean and fat, trimmed to 1/8&quot; fat, select, braised","12","oz","0.00","1.00","28.40","79","8.210","4.920","0.000","0.000","0.000","5.000","0.680","67.000","14.000","0.000","0.018","0.045","1.184","0.000","0.081","0.540","3.000","0.000","0.000","0.140","0.100","0.500","1.953","2.121","0.182","30.000","0.000","0.000",
"8487","3806","Beef flank steak, lean and fat, trimmed to 0&quot; fat, choice, braised","Beef flank steak, lean and fat, trimmed to 0&quot; fat, choice, braised","12","3.0 oz","0.00","3.00","85.20","224","22.930","13.970","0.000","0.000","0.000","5.000","2.830","286.000","60.000","0.000","0.119","0.153","3.757","0.000","0.298","2.800","8.000","0.000","0.000","0.590","0.000","2.100","5.882","5.899","0.451","61.000","0.000","0.000",
"8488","3807","Beef flank steak, lean and fat, trimmed to 0&quot; fat, choice, broiled","Beef flank steak, lean and fat, trimmed to 0&quot; fat, choice, broiled","12","oz","0.00","1.00","28.40","57","7.810","2.640","0.000","0.000","0.000","5.000","0.510","92.000","15.000","0.000","0.020","0.034","2.118","0.000","0.156","0.520","3.000","0.000","0.000","0.110","0.000","0.400","1.089","1.063","0.103","23.000","0.000","0.000",
"8491","3809","Beef flank steak, lean only, trimmed to 0&quot; fat, choice, braised","Beef flank steak, lean only, trimmed to 0&quot; fat, choice, braised","12","3.0 oz","0.00","3.00","85.20","201","23.820","11.050","0.000","0.000","0.000","5.000","2.950","298.000","61.000","0.000","0.119","0.161","3.910","0.000","0.306","2.900","8.000","0.000","0.000","0.120","0.200","1.400","4.709","4.624","0.331","60.000","0.000","0.000",
"8492","3810","Beef flank steak, lean only, trimmed to 0&quot; fat, choice, broiled","Beef flank steak, lean only, trimmed to 0&quot; fat, choice, broiled","12","oz","0.00","1.00","28.40","55","7.890","2.360","0.000","0.000","0.000","4.000","0.520","96.000","16.000","0.000","0.021","0.040","2.327","0.000","0.164","0.490","3.000","0.000","0.000","0.110","0.000","0.400","0.979","0.930","0.093","23.000","0.000","0.000",
"8494","3812","Beef rib, eye, small end (ribs 10-12), lean and fat, trimmed to 0&quot; fat, choice, broiled","Beef rib, eye, small end (ribs 10-12), lean and fat, trimmed to 0&quot; fat, choice, broiled","12","oz","0.00","1.00","28.40","75","7.540","4.750","0.000","0.000","0.000","5.000","0.510","92.000","15.000","0.000","0.019","0.033","2.044","0.000","0.150","0.500","2.000","0.000","0.000","0.130","0.000","0.500","1.844","1.946","0.176","25.000","0.000","0.000",
"8497","3814","Beef rib, eye, small end (ribs 10-12), lean only, trimmed to 0&quot; fat, choice, broiled","Beef rib, eye, small end (ribs 10-12), lean only, trimmed to 0&quot; fat, choice, broiled","12","3.0 oz","0.00","3.00","85.20","174","24.550","7.660","0.000","0.000","0.000","14.000","1.680","309.000","51.000","0.000","0.065","0.126","7.243","0.000","0.511","1.530","8.000","0.000","0.000","0.350","0.000","1.300","2.916","3.056","0.282","76.000","0.000","0.000",
"8500","3816","Beef rib, shortribs, lean and fat, choice, braised","Beef rib, shortribs, lean and fat, choice, braised","12","3.0 oz","0.00","3.00","85.20","400","18.330","35.680","0.000","0.000","0.000","10.000","1.960","190.000","42.000","0.000","0.042","0.128","2.084","0.000","0.187","2.230","4.000","0.000","0.000","0.250","0.600","2.000","15.130","16.048","1.301","80.000","0.000","0.000",
"8503","3818","Beef rib, shortribs, lean only, choice, braised","Beef rib, shortribs, lean only, choice, braised","12","3.0 oz","0.00","3.00","85.20","251","26.150","15.410","0.000","0.000","0.000","9.000","2.860","266.000","49.000","0.000","0.055","0.172","2.727","0.000","0.238","2.940","6.000","0.000","0.000","0.120","0.300","1.600","6.579","6.783","0.468","79.000","0.000","0.000",
"8505","3819","Beef round, full cut, lean only, trimmed to 1/4&quot; fat, choice, broiled","Beef round, full cut, lean only, trimmed to 1/4&quot; fat, choice, broiled","12","3.0 oz","0.00","3.00","85.20","162","24.830","6.210","0.000","0.000","0.000","4.000","2.300","359.000","54.000","0.000","0.085","0.187","3.621","0.000","0.340","2.690","8.000","0.000","0.000","0.120","0.100","1.300","2.176","2.635","0.264","66.000","0.000","0.000",
"8507","3820","Beef round, full cut, lean only, trimmed to 1/4&quot; fat, select, broiled","Beef round, full cut, lean only, trimmed to 1/4&quot; fat, select, broiled","12","3.0 oz","0.00","3.00","85.20","146","24.860","4.440","0.000","0.000","0.000","4.000","2.300","360.000","54.000","0.000","0.085","0.187","3.629","0.000","0.349","2.690","8.000","0.000","0.000","0.000","0.000","0.000","1.556","1.887","0.187","66.000","0.000","0.000",
"8508","3821","Beef brisket, flat half, lean and fat, trimmed to 0&quot; fat, choice, braised","Beef brisket, flat half, lean and fat, trimmed to 0&quot; fat, choice, braised","12","oz","0.00","1.00","28.40","63","9.130","2.620","0.000","0.000","0.000","5.000","0.780","72.000","15.000","0.000","0.017","0.058","1.275","0.000","0.089","0.740","3.000","0.000","0.000","0.120","0.000","0.500","1.031","1.127","0.097","26.000","0.000","0.000",
"8510","3822","Beef canned","Beef canned","12","serving","0.00","0.00","0.00","111","9.230","7.910","0.000","0.000","0.000","4.000","1.000","102.000","84.000","0.000","0.011","0.076","1.948","0.000","0.076","0.750","1.000","0.000","0.000","0.880","0.000","4.300","3.866","3.550","0.389","35.000","0.000","0.000",
"8511","3822","Beef canned","Beef canned","12","can","0.00","0.00","0.00","1970","164.370","140.740","0.000","0.000","0.000","80.000","17.860","1818.000","1498.000","0.000","0.192","1.346","34.683","0.000","1.346","13.300","16.000","0.000","0.000","15.700","0.000","76.900","68.806","63.199","6.929","617.000","0.000","0.000",
"8514","3824","Beef shank crosscuts, lean only, trimmed to 1/4&quot; fat, choice, simmered","Beef shank crosscuts, lean only, trimmed to 1/4&quot; fat, choice, simmered","12","3.0 oz","0.00","3.00","85.20","171","28.630","5.410","0.000","0.000","0.000","27.000","3.280","380.000","54.000","0.000","0.119","0.178","5.006","0.000","0.314","3.220","8.000","0.000","0.000","0.000","0.000","0.000","1.947","2.431","0.178","66.000","0.000","0.000",
"8517","3826","Beef chuck, under blade pot roast, boneless, lean only, trimmed to 0&quot; fat, all grades, braised","Beef chuck, under blade pot roast, boneless, lean only, trimmed to 0&quot; fat, all grades, braised","12","oz","0.00","1.00","28.40","61","8.660","2.970","0.000","0.000","0.000","4.000","0.900","87.000","18.000","0.000","0.020","0.070","1.098","0.000","0.090","0.960","2.000","0.000","2.000","0.020","0.000","0.500","1.135","1.437","0.147","29.000","0.000","0.000",
"8521","3829","Frozen ground beef patties, broiled","Frozen ground beef patties, broiled","12","3.0 oz","0.00","3.00","85.20","251","19.590","18.560","0.000","0.000","0.000","9.000","2.060","259.000","65.000","0.000","0.026","0.150","4.509","0.000","0.370","2.250","18.000","0.000","0.000","0.000","0.200","2.000","7.484","7.954","0.558","71.000","0.000","0.000",
