"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"2","1","Butter, salted","Butter, salted","1","cup","48.00","0.00","0.00","1628","1.930","184.120","0.140","0.000","0.140","54.000","0.050","54.000","1621.000","0.000","0.011","0.077","0.095","0.000","0.007","0.390","7.000","0.000","5673.000","5.270","3.400","15.900","116.605","47.718","6.908","488.000","0.000","0.000",
"3","1","Butter, salted","Butter, salted","1","tbsp","3.00","0.00","0.00","102","0.120","11.520","0.010","0.000","0.010","3.000","0.000","3.000","101.000","0.000","0.001","0.005","0.006","0.000","0.000","0.020","0.000","0.000","355.000","0.330","0.200","1.000","7.294","2.985","0.432","31.000","0.000","0.000",
"5","2","Whipped butter, salted","Butter, whipped, with salt","1","cup","48.00","0.00","0.00","1083","1.280","122.480","0.090","0.000","0.090","36.000","0.240","39.000","1249.000","0.000","0.008","0.051","0.063","0.000","0.005","0.200","5.000","0.000","3773.000","3.500","2.300","10.600","76.238","35.373","4.548","331.000","0.000","0.000",
"6","2","Whipped butter, salted","Butter, whipped, with salt","1","tbsp","3.00","0.00","0.00","67","0.080","7.620","0.010","0.000","0.010","2.000","0.020","2.000","78.000","0.000","0.000","0.003","0.004","0.000","0.000","0.010","0.000","0.000","235.000","0.220","0.100","0.700","4.746","2.202","0.283","21.000","0.000","0.000",
"8","3","Butter oil","Butter oil, anhydrous","1","cup","48.00","0.00","0.00","1796","0.570","203.930","0.000","0.000","0.000","8.000","0.000","10.000","4.000","0.000","0.002","0.010","0.006","0.000","0.002","0.020","0.000","0.000","6291.000","5.740","3.700","17.600","126.944","58.901","7.573","525.000","0.000","0.000",
"9","3","Butter oil","Butter oil, anhydrous","1","tbsp","3.00","0.00","0.00","112","0.040","12.730","0.000","0.000","0.000","1.000","0.000","1.000","0.000","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.000","393.000","0.360","0.200","1.100","7.926","3.678","0.473","33.000","0.000","0.000",
"10","1","Butter, salted","Butter, salted","1","pat (1"" sq, 1/3"" hig","1.06","0.00","0.00","36","0.040","4.060","0.000","0.000","0.000","1.000","0.000","1.000","36.000","0.000","0.000","0.002","0.002","0.000","0.000","0.010","0.000","0.000","125.000","0.120","0.100","0.400","2.568","1.051","0.152","11.000","0.000","0.000",
"11","2","Whipped butter, salted","Butter, whipped, with salt","1","pat (1"" sq, 1/3"" hig","1.20","0.00","0.00","27","0.030","3.080","0.000","0.000","0.000","1.000","0.010","1.000","31.000","0.000","0.000","0.001","0.002","0.000","0.000","0.000","0.000","0.000","95.000","0.090","0.100","0.300","1.919","0.890","0.114","8.000","0.000","0.000",
"13","4","Blue cheese","Cheese, blue","1","cup, crumbled, not p","48.00","0.00","135.47","477","28.890","38.800","3.160","0.000","0.680","713.000","0.420","346.000","1883.000","0.000","0.039","0.516","1.372","0.000","0.224","1.650","49.000","0.000","1030.000","0.340","0.700","3.200","25.203","10.500","1.080","101.000","0.000","0.000",
"15","5","Brick cheese","Cheese, brick","1","cup, diced","48.00","0.00","133.81","490","30.680","39.180","3.680","0.000","0.670","890.000","0.570","180.000","739.000","0.000","0.018","0.463","0.156","0.000","0.086","1.660","26.000","0.000","1426.000","0.340","0.700","3.300","24.768","11.349","1.035","124.000","0.000","0.000",
"16","5","Brick cheese","Cheese, brick","1","cup, shredded","48.00","0.00","114.42","419","26.260","33.540","3.150","0.000","0.580","762.000","0.490","154.000","633.000","0.000","0.016","0.397","0.133","0.000","0.073","1.420","23.000","0.000","1220.000","0.290","0.600","2.800","21.203","9.716","0.886","106.000","0.000","0.000",
"18","6","Brie cheese","Cheese, brie","1","cup, melted","48.00","0.00","239.76","802","49.800","66.430","1.080","0.000","1.080","442.000","1.200","365.000","1510.000","0.000","0.168","1.248","0.912","0.000","0.564","3.960","156.000","0.000","1421.000","0.580","1.200","5.500","41.784","19.231","1.982","240.000","0.000","0.000",
"19","6","Brie cheese","Cheese, brie","1","cup, sliced","48.00","0.00","143.79","481","29.880","39.860","0.650","0.000","0.650","265.000","0.720","219.000","906.000","0.000","0.101","0.749","0.547","0.000","0.338","2.380","94.000","0.000","852.000","0.350","0.700","3.300","25.070","11.539","1.189","144.000","0.000","0.000",
"20","6","Brie cheese","Cheese, brie","1","package (4.5 oz)","0.00","4.50","127.80","428","26.560","35.430","0.580","0.000","0.580","236.000","0.640","195.000","805.000","0.000","0.090","0.666","0.486","0.000","0.301","2.110","83.000","0.000","758.000","0.310","0.600","2.900","22.285","10.257","1.057","128.000","0.000","0.000",
"22","7","Camembert cheese","Cheese, camembert","1","cup","48.00","0.00","246.58","738","48.710","59.680","1.130","0.000","1.130","954.000","0.810","460.000","2071.000","0.000","0.069","1.200","1.550","0.000","0.558","3.200","153.000","0.000","2017.000","0.520","1.000","4.900","37.537","17.277","1.781","177.000","0.000","0.000",
"25","9","Cheddar cheese","Cheese, cheddar","1","cup, diced","48.00","0.00","133.71","532","32.870","43.740","1.690","0.000","0.690","952.000","0.900","129.000","820.000","0.000","0.036","0.495","0.106","0.000","0.098","1.100","24.000","0.000","1323.000","0.380","0.800","3.700","27.841","12.396","1.243","139.000","0.000","0.000",
"26","9","Cheddar cheese","Cheese, cheddar","1","cup, melted","48.00","0.00","247.05","983","60.760","80.860","3.120","0.000","1.270","1759.000","1.660","239.000","1515.000","0.000","0.066","0.915","0.195","0.000","0.181","2.030","44.000","0.000","2445.000","0.710","1.500","6.800","51.464","22.914","2.298","256.000","0.000","0.000",
"27","9","Cheddar cheese","Cheese, cheddar","1","cup, shredded","48.00","0.00","114.35","455","28.140","37.450","1.450","0.000","0.590","815.000","0.770","111.000","702.000","0.000","0.031","0.424","0.090","0.000","0.084","0.940","20.000","0.000","1132.000","0.330","0.700","3.200","23.834","10.612","1.064","119.000","0.000","0.000",
"29","4","Blue cheese","Cheese, blue","1","oz","0.00","1.00","28.40","100","6.070","8.150","0.660","0.000","0.140","150.000","0.090","73.000","395.000","0.000","0.008","0.108","0.288","0.000","0.047","0.350","10.000","0.000","216.000","0.070","0.100","0.700","5.293","2.205","0.227","21.000","0.000","0.000",
"30","5","Brick cheese","Cheese, brick","1","oz","0.00","1.00","28.40","105","6.590","8.410","0.790","0.000","0.140","191.000","0.120","39.000","159.000","0.000","0.004","0.100","0.033","0.000","0.018","0.360","6.000","0.000","306.000","0.070","0.100","0.700","5.320","2.438","0.222","27.000","0.000","0.000",
"31","5","Brick cheese","Cheese, brick","1","slice (1 oz)","0.00","1.00","28.40","104","6.510","8.310","0.780","0.000","0.140","189.000","0.120","38.000","157.000","0.000","0.004","0.098","0.033","0.000","0.018","0.350","6.000","0.000","302.000","0.070","0.100","0.700","5.254","2.407","0.220","26.000","0.000","0.000",
"32","6","Brie cheese","Cheese, brie","1","oz","0.00","1.00","28.40","95","5.880","7.850","0.130","0.000","0.130","52.000","0.140","43.000","178.000","0.000","0.020","0.147","0.108","0.000","0.067","0.470","18.000","0.000","168.000","0.070","0.100","0.700","4.936","2.272","0.234","28.000","0.000","0.000",
"33","7","Camembert cheese","Cheese, camembert","1","oz","0.00","1.00","28.40","85","5.610","6.880","0.130","0.000","0.130","110.000","0.090","53.000","239.000","0.000","0.008","0.138","0.179","0.000","0.064","0.370","18.000","0.000","232.000","0.060","0.100","0.600","4.326","1.991","0.205","20.000","0.000","0.000",
"34","7","Camembert cheese","Cheese, camembert","1","wedge (1.33 oz)","0.00","1.33","37.77","114","7.520","9.220","0.170","0.000","0.170","147.000","0.130","71.000","320.000","0.000","0.011","0.185","0.239","0.000","0.086","0.490","24.000","0.000","312.000","0.080","0.200","0.800","5.798","2.669","0.275","27.000","0.000","0.000",
