"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"650","687","Tub margarine, with salt","Margarine, regular, 80% fat, composite, tub, with salt","3","cup","48.00","0.00","0.00","1619","0.500","181.990","1.700","0.000","0.000","7.000","0.000","39.000","1491.000","0.200","0.000","0.000","0.000","0.000","0.000","0.180","2.000","0.000","8106.000","35.030","0.000","208.200","32.288","82.707","60.702","0.000","0.000","0.000",
"667","687","Tub margarine, with salt","Margarine, regular, 80% fat, composite, tub, with salt","3","tbsp","3.00","0.00","0.00","101","0.030","11.380","0.110","0.000","0.000","0.000","0.000","2.000","93.000","0.000","0.000","0.000","0.000","0.000","0.000","0.010","0.000","0.000","507.000","2.190","0.000","13.000","2.020","5.174","3.797","0.000","0.000","0.000",
"704","686","Margarine","Margarine, regular, 80% fat, composite, stick, with salt","3","pat (1"" sq, 1/3"" hig","1.06","0.00","0.00","36","0.010","4.040","0.040","0.000","0.000","0.000","0.000","1.000","38.000","0.000","0.000","0.002","0.001","0.000","0.000","0.000","0.000","0.000","179.000","0.450","0.000","4.600","0.759","1.944","1.215","0.000","0.000","0.000",
"721","686","Margarine","Margarine, regular, 80% fat, composite, stick, with salt","3","tsp","1.00","0.00","0.00","34","0.010","3.790","0.030","0.000","0.000","0.000","0.000","1.000","35.000","0.000","0.000","0.002","0.001","0.000","0.000","0.000","0.000","0.000","168.000","0.420","0.000","4.400","0.714","1.827","1.142","0.000","0.000","0.000",
"735","686","Margarine","Margarine, regular, 80% fat, composite, stick, with salt","3","cup","48.00","0.00","0.00","1628","0.360","183.210","1.590","0.000","0.000","7.000","0.140","41.000","1705.000","0.500","0.023","0.084","0.052","0.000","0.020","0.230","2.000","0.000","8106.000","20.430","0.000","211.100","34.479","88.251","55.166","0.000","0.000","0.000",
"747","747","Oil, cooking and salad, ENOVA, 80% diglycerides","Oil, cooking and salad, ENOVA, 80% diglycerides","3","cup","48.00","0.00","0.00","1892","0.000","214.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","46.310","0.000","0.000","9.908","79.214","114.212","0.000","0.000","0.000",
"749","686","Margarine","Margarine, regular, 80% fat, composite, stick, with salt","3","tbsp","3.00","0.00","0.00","100","0.020","11.300","0.100","0.000","0.000","0.000","0.010","3.000","105.000","0.000","0.001","0.005","0.003","0.000","0.001","0.010","0.000","0.000","500.000","1.260","0.000","13.000","2.126","5.443","3.402","0.000","0.000","0.000",
"752","747","Oil, cooking and salad, ENOVA, 80% diglycerides","Oil, cooking and salad, ENOVA, 80% diglycerides","3","tbsp (1 NLEA serving","3.00","0.00","0.00","124","0.000","14.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.030","0.000","0.000","0.648","5.182","7.472","0.000","0.000","0.000",
"774","685","Bacon grease","Animal fat, bacon grease","3","tsp","1.00","0.00","4.36","39","0.000","4.280","0.000","0.000","0.000","0.000","0.000","0.000","6.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.030","0.100","0.000","1.677","1.930","0.479","4.000","0.000","0.000",
"783","685","Bacon grease","Animal fat, bacon grease","3","oz","0.00","1.00","28.40","254","0.000","28.210","0.000","0.000","0.000","0.000","0.000","0.000","43.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.170","0.700","0.000","11.058","12.722","3.159","27.000","0.000","0.000",
