"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"9853","4444","Fish, anchovy, european, raw","Fish, anchovy, european, raw","14","3.0 oz","0.00","3.00","85.20","111","17.300","4.110","0.000","0.000","0.000","125.000","2.760","326.000","88.000","0.000","0.047","0.218","11.920","0.000","0.122","0.530","8.000","0.000","42.000","0.480","0.000","0.100","1.090","1.005","1.391","51.000","0.000","0.000",
"9855","4445","Fish, anchovy, european, canned in oil, drained solids","Fish, anchovy, european, canned in oil, drained solids","14","oz, boneless","0.00","1.00","28.40","60","8.190","2.750","0.000","0.000","0.000","66.000","1.310","154.000","1040.000","0.000","0.022","0.103","5.643","0.000","0.058","0.250","4.000","0.000","11.000","0.940","0.500","3.400","0.625","1.069","0.726","24.000","0.000","0.000",
"9856","4445","Fish, anchovy, european, canned in oil, drained solids","Fish, anchovy, european, canned in oil, drained solids","14","can (2 oz)","0.00","2.00","56.80","94","13.000","4.370","0.000","0.000","0.000","104.000","2.080","245.000","1651.000","0.000","0.035","0.163","8.956","0.000","0.091","0.400","6.000","0.000","18.000","1.500","0.800","5.400","0.991","1.697","1.153","38.000","0.000","0.000",
"9858","4446","Fresh water bass","Fish, bass, fresh water, mixed species, raw","14","3.0 oz","0.00","3.00","85.20","97","16.030","3.140","0.000","0.000","0.000","68.000","1.270","303.000","60.000","1.700","0.064","0.063","1.062","0.000","0.102","1.700","13.000","0.000","85.000","0.000","0.000","0.000","0.663","1.216","0.903","58.000","0.000","0.000",
"9860","4447","Striped bass","Fish, bass, striped, raw","14","3.0 oz","0.00","3.00","85.20","82","15.070","1.980","0.000","0.000","0.000","13.000","0.710","218.000","59.000","0.000","0.085","0.026","1.785","0.000","0.255","3.250","8.000","0.000","76.000","0.000","0.000","0.000","0.431","0.561","0.666","68.000","0.000","0.000",
"9862","4448","Bluefish","Fish, bluefish, raw","14","3.0 oz","0.00","3.00","85.20","105","17.030","3.600","0.000","0.000","0.000","6.000","0.410","316.000","51.000","0.000","0.049","0.068","5.058","0.000","0.342","4.580","2.000","0.000","338.000","0.000","0.000","0.000","0.778","1.524","0.901","50.000","0.000","0.000",
"9864","4449","Fish, burbot, raw","Fish, burbot, raw","14","3.0 oz","0.00","3.00","85.20","76","16.410","0.690","0.000","0.000","0.000","42.000","0.760","343.000","82.000","0.000","0.316","0.120","1.377","0.000","0.255","0.680","1.000","0.000","13.000","0.000","0.000","0.000","0.139","0.113","0.252","51.000","0.000","0.000",
"9866","4450","Butterfish","Fish, butterfish, raw","14","3.0 oz","0.00","3.00","85.20","124","14.690","6.820","0.000","0.000","0.000","19.000","0.420","319.000","76.000","0.000","0.102","0.128","3.825","0.000","0.255","1.620","13.000","0.000","85.000","0.000","0.000","0.000","2.873","2.873","0.502","55.000","0.000","0.000",
"9868","4451","Carp","Fish, carp, raw","14","3.0 oz","0.00","3.00","85.20","108","15.160","4.760","0.000","0.000","0.000","35.000","1.050","283.000","42.000","1.400","0.098","0.047","1.394","0.000","0.161","1.300","13.000","0.000","26.000","0.540","21.000","0.100","0.921","1.979","1.216","56.000","0.000","0.000",
"9870","4452","Fish, carp, cooked, dry heat","Fish, carp, cooked, dry heat","14","3.0 oz","0.00","3.00","85.20","138","19.430","6.090","0.000","0.000","0.000","44.000","1.350","363.000","54.000","1.400","0.119","0.060","1.785","0.000","0.186","1.250","14.000","0.000","27.000","0.000","0.000","0.000","1.180","2.537","1.560","71.000","0.000","0.000",
