"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"4171","2221","Acerola (west indian cherry)","Acerola, (west indian cherry), raw","8","oz","0.00","1.00","28.40","9","0.110","0.090","2.180","0.300","0.000","3.000","0.060","41.000","2.000","475.600","0.006","0.017","0.113","0.000","0.003","0.000","4.000","0.000","217.000","0.000","0.000","0.000","0.019","0.023","0.026","0.000","0.000","0.000",
"4172","2221","Acerola (west indian cherry)","Acerola, (west indian cherry), raw","8","cup","48.00","0.00","97.82","31","0.390","0.290","7.540","1.100","0.000","12.000","0.200","143.000","7.000","1644.000","0.020","0.059","0.392","0.000","0.009","0.000","14.000","0.000","752.000","0.000","0.000","0.000","0.067","0.080","0.088","0.000","0.000","0.000",
"4174","2222","Acerola juice","Acerola juice, raw","8","cup","48.00","0.00","227.20","56","0.970","0.730","11.620","0.700","10.890","24.000","1.210","235.000","7.000","3872.000","0.048","0.145","0.968","0.000","0.010","0.000","34.000","0.000","1232.000","0.440","0.000","3.400","0.165","0.198","0.218","0.000","0.000","0.000",
"4175","2222","Acerola juice","Acerola juice, raw","8","fl oz","6.00","1.00","28.40","7","0.120","0.090","1.450","0.100","1.360","3.000","0.150","29.000","1.000","483.200","0.006","0.018","0.121","0.000","0.001","0.000","4.000","0.000","154.000","0.050","0.000","0.400","0.021","0.025","0.027","0.000","0.000","0.000",
"4177","2223","Apples","Apples, raw, with skin","8","cup, quartered or ch","48.00","0.00","0.00","65","0.320","0.210","17.260","3.000","12.990","8.000","0.150","134.000","1.000","5.800","0.021","0.032","0.114","0.000","0.051","0.000","4.000","0.000","68.000","0.220","0.000","2.800","0.035","0.009","0.064","0.000","0.000","0.000",
"4178","2223","Apples","Apples, raw, with skin","8","cup slices","48.00","0.00","0.00","57","0.280","0.190","15.050","2.600","11.330","7.000","0.130","117.000","1.000","5.000","0.019","0.028","0.099","0.000","0.045","0.000","3.000","0.000","59.000","0.200","0.000","2.400","0.031","0.008","0.056","0.000","0.000","0.000",
"4179","2223","Apples","Apples, raw, with skin","8","large (3-1/4"" dia)","85.66","0.00","0.00","116","0.580","0.380","30.800","5.400","23.170","13.000","0.270","239.000","2.000","10.300","0.038","0.058","0.203","0.000","0.091","0.000","7.000","0.000","120.000","0.400","0.000","4.900","0.062","0.016","0.114","0.000","0.000","0.000",
"4180","2223","Apples","Apples, raw, with skin","8","medium (3"" dia)","70.15","0.00","0.00","95","0.470","0.310","25.130","4.400","18.910","11.000","0.220","195.000","2.000","8.400","0.031","0.047","0.166","0.000","0.075","0.000","5.000","0.000","98.000","0.330","0.000","4.000","0.051","0.013","0.093","0.000","0.000","0.000",
"4181","2223","Apples","Apples, raw, with skin","8","small (2-3/4"" dia)","56.86","0.00","0.00","77","0.390","0.250","20.580","3.600","15.480","9.000","0.180","159.000","1.000","6.900","0.025","0.039","0.136","0.000","0.061","0.000","4.000","0.000","80.000","0.270","0.000","3.300","0.042","0.010","0.076","0.000","0.000","0.000",
"4182","2223","Apples","Apples, raw, with skin","8","extra small (2-1/2"" ","39.14","0.00","0.00","53","0.260","0.170","13.950","2.400","10.490","6.000","0.120","108.000","1.000","4.600","0.017","0.026","0.092","0.000","0.041","0.000","3.000","0.000","55.000","0.180","0.000","2.200","0.028","0.007","0.052","0.000","0.000","0.000",
"4183","2223","Apples","Apples, raw, with skin","8","NLEA serving","93.05","0.00","0.00","126","0.630","0.410","33.420","5.800","25.140","15.000","0.290","259.000","2.000","11.100","0.041","0.063","0.220","0.000","0.099","0.000","7.000","0.000","131.000","0.440","0.000","5.300","0.068","0.017","0.123","0.000","0.000","0.000",
"4185","2224","Apples, peeled","Apples, raw, without skin","8","cup slices","48.00","0.00","0.00","53","0.300","0.140","14.040","1.400","11.110","6.000","0.080","99.000","0.000","4.400","0.021","0.031","0.100","0.000","0.041","0.000","0.000","0.000","42.000","0.060","0.000","0.700","0.023","0.006","0.041","0.000","0.000","0.000",
"4186","2224","Apples, peeled","Apples, raw, without skin","8","large (3-1/4"" dia)","94.19","0.00","0.00","104","0.580","0.280","27.560","2.800","21.820","11.000","0.150","194.000","0.000","8.600","0.041","0.060","0.197","0.000","0.080","0.000","0.000","0.000","82.000","0.110","0.000","1.300","0.045","0.011","0.080","0.000","0.000","0.000",
"4187","2224","Apples, peeled","Apples, raw, without skin","8","medium (3"" dia)","69.74","0.00","0.00","77","0.430","0.210","20.540","2.100","16.260","8.000","0.110","145.000","0.000","6.400","0.031","0.045","0.147","0.000","0.060","0.000","0.000","0.000","61.000","0.080","0.000","1.000","0.034","0.008","0.060","0.000","0.000","0.000",
