"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"11156","5055","Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4&quot; fat, ","Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4&quot; fat, choice, raw","16","oz","0.00","1.00","28.40","76","4.790","6.120","0.000","0.000","0.000","3.000","0.450","65.000","16.000","0.000","0.034","0.062","1.729","0.000","0.037","0.680","5.000","0.000","0.000","0.060","0.000","0.000","2.685","2.512","0.482","20.000","0.000","0.000",
"11158","5056","Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4&quot; fat, ","Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4&quot; fat, choice, cooked","16","3.0 oz","0.00","3.00","85.20","250","20.840","17.800","0.000","0.000","0.000","14.000","1.600","264.000","61.000","0.000","0.085","0.212","5.661","0.000","0.110","2.170","15.000","0.000","0.000","0.120","0.100","3.900","7.506","7.497","1.283","82.000","0.000","0.000",
"11159","5057","Lamb, domestic, composite of trimmed retail cuts, separable lean only, trimmed to 1/4&quot; fat, cho","Lamb, domestic, composite of trimmed retail cuts, separable lean only, trimmed to 1/4&quot; fat, choice, raw","16","oz","0.00","1.00","28.40","38","5.750","1.490","0.000","0.000","0.000","3.000","0.500","79.000","19.000","0.000","0.037","0.065","1.701","0.000","0.045","0.740","7.000","0.000","0.000","0.060","0.000","0.000","0.533","0.598","0.136","18.000","0.000","0.000",
"11161","5058","Lamb, domestic, composite of trimmed retail cuts, separable lean only, trimmed to 1/4&quot; fat, cho","Lamb, domestic, composite of trimmed retail cuts, separable lean only, trimmed to 1/4&quot; fat, choice, cooked","16","3.0 oz","0.00","3.00","85.20","175","23.990","8.090","0.000","0.000","0.000","13.000","1.740","292.000","65.000","0.000","0.085","0.238","5.372","0.000","0.136","2.220","20.000","0.000","0.000","0.160","0.000","0.000","2.890","3.544","0.527","78.000","0.000","0.000",
"11162","5059","Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4&quot; fat, choice, r","Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4&quot; fat, choice, raw","16","oz","0.00","1.00","28.40","189","1.890","20.020","0.000","0.000","0.000","5.000","0.280","23.000","9.000","0.000","0.017","0.045","1.806","0.000","0.011","0.480","1.000","0.000","0.000","0.060","0.000","0.000","9.140","8.253","1.517","26.000","0.000","0.000",
"11164","5060","Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4&quot; fat, choice, c","Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4&quot; fat, choice, cooked","16","3.0 oz","0.00","3.00","85.20","498","10.340","50.300","0.000","0.000","0.000","20.000","1.100","165.000","49.000","0.000","0.060","0.145","6.630","0.000","0.034","2.000","3.000","0.000","0.000","0.030","0.100","3.900","22.967","20.740","3.808","97.000","0.000","0.000",
"11165","5061","Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4&quot; fat, choice, raw","Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4&quot; fat, choice, raw","16","oz","0.00","1.00","28.40","57","5.360","3.790","0.000","0.000","0.000","3.000","0.470","61.000","20.000","0.000","0.028","0.054","1.551","0.000","0.043","0.660","5.000","0.000","0.000","0.070","0.000","0.000","1.653","1.556","0.301","20.000","0.000","0.000",
"11167","5062","Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4&quot; fat, choice, cooked, braised","Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4&quot; fat, choice, cooked, braised","16","3.0 oz","0.00","3.00","85.20","207","24.110","11.440","0.000","0.000","0.000","17.000","1.820","218.000","61.000","0.000","0.042","0.161","4.641","0.000","0.085","1.940","14.000","0.000","0.000","0.150","0.100","3.700","4.786","4.828","0.824","90.000","0.000","0.000",
"11168","5063","Lamb, domestic, foreshank, separable lean only, trimmed to 1/4&quot; fat, choice, raw","Lamb, domestic, foreshank, separable lean only, trimmed to 1/4&quot; fat, choice, raw","16","oz","0.00","1.00","28.40","34","5.980","0.930","0.000","0.000","0.000","3.000","0.510","67.000","22.000","0.000","0.028","0.057","1.505","0.000","0.048","0.690","6.000","0.000","0.000","0.070","0.000","0.000","0.335","0.374","0.085","20.000","0.000","0.000",
"11170","5064","Lamb, domestic, foreshank, separable lean only, trimmed to 1/4&quot; fat, choice, cooked, braised","Lamb, domestic, foreshank, separable lean only, trimmed to 1/4&quot; fat, choice, cooked, braised","16","3.0 oz","0.00","3.00","85.20","159","26.360","5.120","0.000","0.000","0.000","17.000","1.930","227.000","63.000","0.000","0.034","0.161","4.310","0.000","0.094","1.920","16.000","0.000","0.000","0.170","0.000","0.000","1.828","2.244","0.331","88.000","0.000","0.000",
