"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"13559","6309","Amaranth","Amaranth, uncooked","20","oz","0.00","1.00","28.40","105","3.840","1.990","18.500","1.900","0.480","45.000","2.160","144.000","1.000","1.200","0.033","0.057","0.262","0.000","0.168","0.000","23.000","0.000","1.000","0.340","0.000","0.000","0.414","0.478","0.788","0.000","0.000","0.000",
"13560","6309","Amaranth","Amaranth, uncooked","20","cup","48.00","0.00","193.66","716","26.170","13.550","125.930","12.900","3.260","307.000","14.690","980.000","8.000","8.100","0.224","0.386","1.781","0.000","1.141","0.000","158.000","0.000","4.000","2.300","0.000","0.000","2.816","3.252","5.362","0.000","0.000","0.000",
"13561","6310","Amaranth, cooked","Amaranth grain, cooked","20","oz","0.00","1.00","28.40","29","1.080","0.450","5.300","0.600","0.000","13.000","0.600","38.000","2.000","0.000","0.004","0.006","0.067","0.000","0.032","0.000","6.000","0.000","0.000","0.050","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"13562","6310","Amaranth, cooked","Amaranth grain, cooked","20","cup","48.00","0.00","245.81","251","9.350","3.890","45.980","5.200","0.000","116.000","5.170","332.000","15.000","0.000","0.037","0.054","0.578","0.000","0.278","0.000","54.000","0.000","0.000","0.470","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"13563","6311","Arrowroot flour","Arrowroot flour","20","oz","0.00","1.00","28.40","101","0.090","0.030","24.990","1.000","0.000","11.000","0.090","3.000","1.000","0.000","0.000","0.000","0.000","0.000","0.001","0.000","2.000","0.000","0.000","0.000","0.000","0.000","0.005","0.001","0.013","0.000","0.000","0.000",
"13564","6311","Arrowroot flour","Arrowroot flour","20","cup","48.00","0.00","128.50","457","0.380","0.130","112.830","4.400","0.000","51.000","0.420","14.000","3.000","0.000","0.001","0.000","0.000","0.000","0.006","0.000","9.000","0.000","0.000","0.000","0.000","0.000","0.024","0.003","0.058","0.000","0.000","0.000",
"13565","6312","Barley, hulled","Barley, hulled","20","oz","0.00","1.00","28.40","100","3.540","0.650","20.830","4.900","0.230","9.000","1.020","128.000","3.000","0.000","0.183","0.081","1.305","0.000","0.090","0.000","5.000","0.000","6.000","0.160","0.000","0.600","0.137","0.084","0.314","0.000","0.000","0.000",
"13566","6312","Barley, hulled","Barley, hulled","20","cup","48.00","0.00","184.88","651","22.960","4.230","135.200","31.800","1.470","61.000","6.620","832.000","22.000","0.000","1.189","0.524","8.471","0.000","0.585","0.000","35.000","0.000","40.000","1.050","0.000","4.000","0.887","0.543","2.039","0.000","0.000","0.000",
"13567","6313","Barley, pearled, raw","Barley, pearled, raw","20","oz","0.00","1.00","28.40","100","2.810","0.330","22.030","4.400","0.230","8.000","0.710","79.000","3.000","0.000","0.054","0.032","1.305","0.000","0.074","0.000","7.000","0.000","6.000","0.010","0.000","0.600","0.069","0.042","0.159","0.000","0.000","0.000",
"13568","6313","Barley, pearled, raw","Barley, pearled, raw","20","cup","48.00","0.00","199.94","704","19.820","2.320","155.440","31.200","1.600","58.000","5.000","560.000","18.000","0.000","0.382","0.228","9.208","0.000","0.520","0.000","46.000","0.000","44.000","0.040","0.000","4.400","0.488","0.298","1.120","0.000","0.000","0.000",
"13569","6314","Barley, pearled, boiled","Barley, pearled, cooked","20","oz","0.00","1.00","28.40","35","0.640","0.120","8.000","1.100","0.080","3.000","0.380","26.000","1.000","0.000","0.024","0.018","0.585","0.000","0.033","0.000","5.000","0.000","2.000","0.000","0.000","0.200","0.026","0.016","0.061","0.000","0.000","0.000",
"13570","6314","Barley, pearled, boiled","Barley, pearled, cooked","20","cup","48.00","0.00","156.61","193","3.550","0.690","44.310","6.000","0.440","17.000","2.090","146.000","5.000","0.000","0.130","0.097","3.239","0.000","0.181","0.000","25.000","0.000","11.000","0.020","0.000","1.300","0.146","0.089","0.336","0.000","0.000","0.000",
"13571","6315","Buckwheat","Buckwheat","20","oz","0.00","1.00","28.40","97","3.760","0.960","20.270","2.800","0.000","5.000","0.620","130.000","0.000","0.000","0.029","0.120","1.990","0.000","0.060","0.000","9.000","0.000","0.000","0.000","0.000","0.000","0.210","0.295","0.295","0.000","0.000","0.000",
"13572","6315","Buckwheat","Buckwheat","20","cup","48.00","0.00","170.69","583","22.520","5.780","121.550","17.000","0.000","31.000","3.740","782.000","2.000","0.000","0.172","0.722","11.934","0.000","0.357","0.000","51.000","0.000","0.000","0.000","0.000","0.000","1.260","1.768","1.766","0.000","0.000","0.000",
"13573","6316","Buckwheat groats, roasted, dry","Buckwheat groats, roasted, dry","20","oz","0.00","1.00","28.40","98","3.330","0.770","21.250","2.900","0.000","5.000","0.700","91.000","3.000","0.000","0.064","0.077","1.456","0.000","0.100","0.000","12.000","0.000","0.000","0.000","0.000","0.000","0.168","0.235","0.235","0.000","0.000","0.000",
"13574","6316","Buckwheat groats, roasted, dry","Buckwheat groats, roasted, dry","20","cup","48.00","0.00","164.31","567","19.240","4.440","122.920","16.900","0.000","28.000","4.050","525.000","18.000","0.000","0.367","0.444","8.421","0.000","0.579","0.000","69.000","0.000","0.000","0.000","0.000","0.000","0.969","1.358","1.358","0.000","0.000","0.000",
"13575","6317","Buckwheat groats, roasted, cooked","Buckwheat groats, roasted, cooked","20","oz","0.00","1.00","28.40","26","0.960","0.180","5.650","0.800","0.260","2.000","0.230","25.000","1.000","0.000","0.011","0.011","0.266","0.000","0.022","0.000","4.000","0.000","0.000","0.030","0.000","0.500","0.038","0.053","0.053","0.000","0.000","0.000",
"13576","6317","Buckwheat groats, roasted, cooked","Buckwheat groats, roasted, cooked","20","cup","48.00","0.00","169.31","155","5.680","1.040","33.500","4.500","1.510","12.000","1.340","148.000","7.000","0.000","0.067","0.066","1.579","0.000","0.129","0.000","24.000","0.000","0.000","0.150","0.000","3.200","0.225","0.316","0.316","0.000","0.000","0.000",
"13577","6318","Buckwheat flour","Buckwheat flour, whole-groat","20","oz","0.00","1.00","28.40","95","3.580","0.880","20.010","2.800","0.740","12.000","1.150","164.000","3.000","0.000","0.118","0.054","1.744","0.000","0.165","0.000","15.000","0.000","0.000","0.090","0.000","2.000","0.192","0.269","0.269","0.000","0.000","0.000",
"13578","6318","Buckwheat flour","Buckwheat flour, whole-groat","20","cup","48.00","0.00","120.18","402","15.140","3.720","84.710","12.000","3.120","49.000","4.870","692.000","13.000","0.000","0.500","0.228","7.380","0.000","0.698","0.000","65.000","0.000","0.000","0.380","0.000","8.400","0.812","1.139","1.139","0.000","0.000","0.000",
"13579","6319","Bulgur, dry","Bulgur, dry","20","oz","0.00","1.00","28.40","97","3.480","0.380","21.510","5.200","0.120","10.000","0.700","116.000","5.000","0.000","0.066","0.033","1.450","0.000","0.097","0.000","8.000","0.000","3.000","0.020","0.000","0.500","0.066","0.049","0.153","0.000","0.000","0.000",
"13580","6319","Bulgur, dry","Bulgur, dry","20","cup","48.00","0.00","140.24","479","17.210","1.860","106.220","25.600","0.570","49.000","3.440","574.000","24.000","0.000","0.325","0.161","7.160","0.000","0.479","0.000","38.000","0.000","13.000","0.080","0.000","2.700","0.325","0.242","0.757","0.000","0.000","0.000",
"13582","6320","Bulgur, cooked","Bulgur, cooked","20","cup","48.00","0.00","0.00","151","5.610","0.440","33.820","8.200","0.180","18.000","1.750","124.000","9.000","0.000","0.104","0.051","1.820","0.000","0.151","0.000","33.000","0.000","4.000","0.020","0.000","0.900","0.076","0.056","0.178","0.000","0.000","0.000",
"13583","6320","Bulgur, cooked","Bulgur, cooked","20","tbsp","3.00","0.00","0.00","7","0.260","0.020","1.560","0.400","0.010","1.000","0.080","6.000","0.000","0.000","0.005","0.002","0.084","0.000","0.007","0.000","2.000","0.000","0.000","0.000","0.000","0.000","0.004","0.003","0.008","0.000","0.000","0.000",
"13584","6321","Corn, yellow","Corn, yellow","20","oz","0.00","1.00","28.40","103","2.670","1.340","21.050","2.100","0.180","2.000","0.770","81.000","10.000","0.000","0.109","0.057","1.028","0.000","0.176","0.000","5.000","0.000","61.000","0.140","0.000","0.100","0.189","0.355","0.613","0.000","0.000","0.000",
"13585","6321","Corn, yellow","Corn, yellow","20","cup","48.00","0.00","167.09","606","15.640","7.870","123.270","12.100","1.060","12.000","4.500","476.000","58.000","0.000","0.639","0.334","6.021","0.000","1.033","0.000","32.000","0.000","355.000","0.810","0.000","0.500","1.107","2.077","3.591","0.000","0.000","0.000",
"13586","6322","Corn bran, crude","Corn bran, crude","20","oz","0.00","1.00","28.40","64","2.370","0.260","24.280","22.400","0.000","12.000","0.790","12.000","2.000","0.000","0.003","0.028","0.775","0.000","0.043","0.000","1.000","0.000","20.000","0.120","0.000","0.100","0.037","0.069","0.119","0.000","0.000","0.000",
"13587","6322","Corn bran, crude","Corn bran, crude","20","cup","48.00","0.00","75.44","170","6.350","0.700","65.090","60.000","0.000","32.000","2.120","33.000","5.000","0.000","0.008","0.076","2.079","0.000","0.116","0.000","3.000","0.000","54.000","0.320","0.000","0.200","0.099","0.185","0.320","0.000","0.000","0.000",
"13588","6323","Corn flour, whole-grain, yellow","Corn flour, whole-grain, yellow","20","oz","0.00","1.00","28.40","102","1.960","1.090","21.790","2.100","0.180","2.000","0.670","89.000","1.000","0.000","0.070","0.023","0.539","0.000","0.105","0.000","7.000","0.000","61.000","0.120","0.000","0.100","0.154","0.289","0.499","0.000","0.000","0.000",
"13589","6323","Corn flour, whole-grain, yellow","Corn flour, whole-grain, yellow","20","cup","48.00","0.00","117.50","422","8.110","4.520","89.910","8.500","0.750","8.000","2.780","369.000","6.000","0.000","0.288","0.094","2.223","0.000","0.433","0.000","29.000","0.000","250.000","0.490","0.000","0.400","0.635","1.191","2.058","0.000","0.000","0.000",
"13590","6324","Corn flour, masa, enriched, white","Corn flour, masa, enriched, white","20","oz","0.00","1.00","28.40","103","2.630","1.090","21.630","1.800","0.460","39.000","2.120","75.000","1.000","0.000","0.418","0.228","2.816","0.000","0.135","0.000","59.000","51.000","1.000","0.030","0.000","0.000","0.151","0.283","0.489","0.000","0.000","0.000",
"13591","6324","Corn flour, masa, enriched, white","Corn flour, masa, enriched, white","20","cup","48.00","0.00","114.70","416","10.580","4.400","86.970","7.300","1.840","155.000","8.540","300.000","6.000","0.000","1.682","0.918","11.322","0.000","0.542","0.000","238.000","205.000","6.000","0.140","0.000","0.000","0.606","1.137","1.965","0.000","0.000","0.000",
"13592","6325","Cornmeal","Corn flour, degermed, unenriched, yellow","20","oz","0.00","1.00","28.40","106","1.580","0.390","23.460","0.500","0.180","1.000","0.260","26.000","0.000","0.000","0.021","0.016","0.753","0.000","0.027","0.000","14.000","0.000","61.000","0.040","0.000","0.100","0.048","0.078","0.197","0.000","0.000","0.000",
"13593","6325","Cornmeal","Corn flour, degermed, unenriched, yellow","20","cup","48.00","0.00","126.46","472","7.040","1.750","104.260","2.400","0.810","3.000","1.150","113.000","1.000","0.000","0.093","0.073","3.347","0.000","0.122","0.000","60.000","0.000","270.000","0.190","0.000","0.400","0.215","0.345","0.876","0.000","0.000","0.000",
"13594","6326","Corn flour, masa, unenriched, white","Corn flour, masa, unenriched, white","20","oz","0.00","1.00","28.40","103","2.630","1.090","21.630","1.800","0.460","39.000","0.420","75.000","1.000","0.000","0.063","0.027","0.463","0.000","0.135","0.000","8.000","0.000","1.000","0.030","0.000","0.000","0.151","0.283","0.489","0.000","0.000","0.000",
"13595","6326","Corn flour, masa, unenriched, white","Corn flour, masa, unenriched, white","20","cup","48.00","0.00","114.70","416","10.580","4.400","86.970","7.300","1.840","155.000","1.680","300.000","6.000","0.000","0.254","0.111","1.863","0.000","0.542","0.000","33.000","0.000","6.000","0.140","0.000","0.000","0.606","1.137","1.965","0.000","0.000","0.000",
"13596","6327","Cornmeal, whole-grain, yellow","Cornmeal, whole-grain, yellow","20","oz","0.00","1.00","28.40","103","2.300","1.020","21.800","2.100","0.180","2.000","0.980","81.000","10.000","0.000","0.109","0.057","1.030","0.000","0.086","0.000","7.000","0.000","61.000","0.120","0.000","0.100","0.143","0.269","0.464","0.000","0.000","0.000",
"13597","6327","Cornmeal, whole-grain, yellow","Cornmeal, whole-grain, yellow","20","cup","48.00","0.00","121.87","442","9.910","4.380","93.810","8.900","0.780","7.000","4.210","350.000","43.000","0.000","0.470","0.245","4.431","0.000","0.371","0.000","30.000","0.000","261.000","0.510","0.000","0.400","0.616","1.157","1.998","0.000","0.000","0.000",
"13598","6328","Cornmeal, degermed, enriched, yellow","Cornmeal, degermed, enriched, yellow","20","oz","0.00","1.00","28.40","105","2.020","0.500","22.520","1.100","0.460","1.000","1.240","40.000","2.000","0.000","0.156","0.108","1.408","0.000","0.052","0.000","59.000","51.000","61.000","0.030","0.000","0.000","0.048","0.085","0.180","0.000","0.000","0.000",
"13599","6328","Cornmeal, degermed, enriched, yellow","Cornmeal, degermed, enriched, yellow","20","cup","48.00","0.00","157.15","581","11.160","2.750","124.740","6.100","2.530","5.000","6.850","223.000","11.000","0.000","0.865","0.600","7.800","0.000","0.286","0.000","328.000","283.000","336.000","0.190","0.000","0.000","0.265","0.469","0.995","0.000","0.000","0.000",
