"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"641","220","allspice, ground","Spices, allspice, ground","2","tbsp","3.00","0.00","0.00","16","0.370","0.520","4.330","1.300","0.000","40.000","0.420","63.000","5.000","2.400","0.006","0.004","0.172","0.000","0.013","0.000","2.000","0.000","32.000","0.000","0.000","0.000","0.153","0.040","0.142","0.000","0.000","0.000",
"642","220","allspice, ground","Spices, allspice, ground","2","tsp","1.00","0.00","0.00","5","0.120","0.170","1.370","0.400","0.000","13.000","0.130","20.000","1.000","0.700","0.002","0.001","0.054","0.000","0.004","0.000","1.000","0.000","10.000","0.000","0.000","0.000","0.048","0.013","0.045","0.000","0.000","0.000",
"646","221","Anise seed","Spices, anise seed","2","tbsp, whole","3.00","0.00","0.00","23","1.180","1.070","3.350","1.000","0.000","43.000","2.480","97.000","1.000","1.400","0.023","0.019","0.205","0.000","0.044","0.000","1.000","0.000","21.000","0.000","0.000","0.000","0.039","0.655","0.211","0.000","0.000","0.000",
"647","221","Anise seed","Spices, anise seed","2","tsp, whole","1.00","0.00","0.00","7","0.370","0.330","1.050","0.300","0.000","14.000","0.780","30.000","0.000","0.400","0.007","0.006","0.064","0.000","0.014","0.000","0.000","0.000","7.000","0.000","0.000","0.000","0.012","0.205","0.066","0.000","0.000","0.000",
"649","222","Basil, dried","Spices, basil, dried","2","tsp, leaves","1.00","0.00","0.00","2","0.160","0.030","0.330","0.300","0.010","16.000","0.630","18.000","1.000","0.000","0.001","0.008","0.034","0.000","0.009","0.000","2.000","0.000","5.000","0.070","0.000","12.000","0.015","0.009","0.003","0.000","0.000","0.000",
"651","222","Basil, dried","Spices, basil, dried","2","tbsp, leaves","3.00","0.00","0.00","5","0.480","0.090","1.000","0.800","0.040","47.000","1.890","55.000","2.000","0.000","0.002","0.025","0.103","0.000","0.028","0.000","7.000","0.000","16.000","0.220","0.000","36.000","0.045","0.026","0.010","0.000","0.000","0.000",
"652","222","Basil, dried","Spices, basil, dried","2","tsp, ground","1.00","0.00","0.00","3","0.320","0.060","0.670","0.500","0.020","31.000","1.260","37.000","1.000","0.000","0.001","0.017","0.069","0.000","0.019","0.000","4.000","0.000","10.000","0.150","0.000","24.000","0.030","0.017","0.007","0.000","0.000","0.000",
"653","222","Basil, dried","Spices, basil, dried","2","tbsp, ground","3.00","0.00","0.00","10","1.030","0.180","2.150","1.700","0.080","101.000","4.040","118.000","3.000","0.000","0.004","0.054","0.220","0.000","0.060","0.000","14.000","0.000","33.000","0.480","0.000","77.200","0.097","0.056","0.022","0.000","0.000","0.000",
"655","223","Bay leaf","Spices, bay leaf","2","tbsp, crumbled","3.00","0.00","0.00","6","0.140","0.150","1.350","0.500","0.000","15.000","0.770","10.000","0.000","0.800","0.000","0.008","0.036","0.000","0.031","0.000","3.000","0.000","111.000","0.000","0.000","0.000","0.041","0.030","0.041","0.000","0.000","0.000",
"656","223","Bay leaf","Spices, bay leaf","2","tsp, crumbled","1.00","0.00","0.00","2","0.050","0.050","0.450","0.200","0.000","5.000","0.260","3.000","0.000","0.300","0.000","0.003","0.012","0.000","0.010","0.000","1.000","0.000","37.000","0.000","0.000","0.000","0.014","0.010","0.014","0.000","0.000","0.000",
