"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"8189","3669","Breadfruit seeds","Seeds, breadfruit seeds, raw","11","oz","0.00","1.00","28.40","54","2.100","1.580","8.290","1.500","0.000","10.000","1.040","267.000","7.000","1.900","0.137","0.085","0.124","0.000","0.091","0.000","15.000","0.000","73.000","0.000","0.000","0.000","0.428","0.202","0.844","0.000","0.000","0.000",
"8190","3670","Seeds, breadfruit seeds, boiled","Seeds, breadfruit seeds, boiled","11","oz","0.00","1.00","28.40","48","1.500","0.650","9.070","1.400","0.000","17.000","0.170","248.000","7.000","1.700","0.082","0.048","1.503","0.000","0.084","0.000","14.000","0.000","67.000","0.000","0.000","0.000","0.176","0.083","0.347","0.000","0.000","0.000",
"8192","3671","Seeds, breadnut tree seeds, raw","Seeds, breadnut tree seeds, raw","11","oz (8-14 seeds)","0.00","1.00","28.40","62","1.690","0.280","13.120","0.000","0.000","28.000","0.590","335.000","9.000","7.800","0.016","0.016","0.249","0.000","0.114","0.000","19.000","0.000","70.000","0.000","0.000","0.000","0.076","0.036","0.149","0.000","0.000","0.000",
"8193","3672","Seeds, breadnut tree seeds, dried","Seeds, breadnut tree seeds, dried","11","oz","0.00","1.00","28.40","104","2.440","0.480","22.510","4.200","0.000","27.000","1.300","570.000","15.000","13.200","0.009","0.040","0.595","0.000","0.194","0.000","32.000","0.000","61.000","0.000","0.000","0.000","0.129","0.061","0.254","0.000","0.000","0.000",
"8194","3672","Seeds, breadnut tree seeds, dried","Seeds, breadnut tree seeds, dried","11","cup","48.00","0.00","160.30","587","13.790","2.690","127.020","23.800","0.000","150.000","7.360","3218.000","85.000","74.600","0.048","0.224","3.360","0.000","1.096","0.000","181.000","0.000","346.000","0.000","0.000","0.000","0.726","0.342","1.434","0.000","0.000","0.000",
"8195","3673","Seeds, chia seeds, dried","Seeds, chia seeds, dried","11","oz","0.00","1.00","28.40","138","4.690","8.710","11.940","9.800","0.000","179.000","2.190","115.000","5.000","0.500","0.176","0.048","2.503","0.000","0.000","0.000","14.000","0.000","15.000","0.140","0.000","0.000","0.944","0.655","6.709","0.000","0.000","0.000",
"8197","3674","Cottonseed flour","Seeds, cottonseed flour, partially defatted (glandless)","11","cup","48.00","0.00","0.00","337","38.500","5.830","38.110","2.800","0.000","449.000","11.900","1666.000","33.000","2.300","1.976","0.375","3.821","0.000","0.723","0.000","215.000","0.000","408.000","0.000","0.000","0.000","1.493","1.065","2.781","0.000","0.000","0.000",
"8198","3674","Cottonseed flour","Seeds, cottonseed flour, partially defatted (glandless)","11","tbsp","3.00","0.00","0.00","18","2.050","0.310","2.030","0.200","0.000","24.000","0.630","89.000","2.000","0.100","0.105","0.020","0.203","0.000","0.038","0.000","11.000","0.000","22.000","0.000","0.000","0.000","0.079","0.057","0.148","0.000","0.000","0.000",
"8199","3675","Seeds, cottonseed flour, low fat (glandless)","Seeds, cottonseed flour, low fat (glandless)","11","oz","0.00","1.00","28.40","94","14.130","0.400","10.230","0.000","0.000","134.000","3.570","499.000","10.000","0.700","0.592","0.112","1.145","0.000","0.217","0.000","65.000","0.000","122.000","0.000","0.000","0.000","0.088","0.063","0.164","0.000","0.000","0.000",
"8200","3676","Seeds, cottonseed meal, partially defatted (glandless)","Seeds, cottonseed meal, partially defatted (glandless)","11","oz","0.00","1.00","28.40","104","13.920","1.350","10.890","0.000","0.000","143.000","3.780","530.000","10.000","0.700","0.629","0.119","1.215","0.000","0.230","0.000","69.000","0.000","130.000","0.000","0.000","0.000","0.342","0.244","0.637","0.000","0.000","0.000",
