"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"4987","2548","Pork enhanced, composite of fat, cooked","Pork enhanced, composite of fat, cooked","9","3.0 oz","0.00","3.00","85.20","497","8.550","51.360","0.270","0.000","0.000","31.000","0.700","182.000","106.000","0.000","0.209","0.118","3.340","0.000","0.199","1.190","0.000","0.000","0.000","0.200","1.300","0.000","18.175","21.165","7.216","69.000","0.000","0.000",
"4999","2557","Pork leg (ham), whole, lean and fat, roasted","Pork leg (ham), whole, lean and fat, roasted","9","cup, diced","48.00","0.00","135.51","369","36.220","23.770","0.000","0.000","0.000","19.000","1.360","475.000","81.000","0.400","0.857","0.423","6.175","0.000","0.543","0.920","14.000","0.000","14.000","0.300","1.100","0.000","8.734","10.638","2.268","127.000","0.000","0.000",
"5000","2557","Pork leg (ham), whole, lean and fat, roasted","Pork leg (ham), whole, lean and fat, roasted","9","3.0 oz","0.00","3.00","85.20","232","22.810","14.970","0.000","0.000","0.000","12.000","0.860","299.000","51.000","0.300","0.540","0.266","3.888","0.000","0.342","0.580","8.000","0.000","8.000","0.190","0.700","0.000","5.499","6.698","1.428","80.000","0.000","0.000",
"5003","2559","Pork leg (ham), whole, lean only, roasted","Pork leg (ham), whole, lean only, roasted","9","cup, diced","48.00","0.00","135.65","285","39.700","12.740","0.000","0.000","0.000","9.000","1.510","504.000","86.000","0.500","0.931","0.471","6.662","0.000","0.608","0.970","16.000","0.000","12.000","0.350","1.200","0.000","4.455","6.008","1.148","127.000","0.000","0.000",
"5004","2559","Pork leg (ham), whole, lean only, roasted","Pork leg (ham), whole, lean only, roasted","9","3.0 oz","0.00","3.00","85.20","179","25.000","8.020","0.000","0.000","0.000","6.000","0.950","317.000","54.000","0.300","0.586","0.297","4.195","0.000","0.382","0.610","10.000","0.000","8.000","0.220","0.800","0.000","2.805","3.782","0.722","80.000","0.000","0.000",
"5007","2561","Pork leg (ham), rump half, lean and fat, roasted","Pork leg (ham), rump half, lean and fat, roasted","9","cup, diced","48.00","0.00","134.98","282","36.490","13.930","0.000","0.000","0.000","22.000","1.220","562.000","104.000","0.000","0.660","0.512","10.049","0.000","0.676","0.900","0.000","0.000","14.000","0.360","0.500","0.000","4.548","5.835","2.967","115.000","0.000","0.000",
"5008","2561","Pork leg (ham), rump half, lean and fat, roasted","Pork leg (ham), rump half, lean and fat, roasted","9","3.0 oz","0.00","3.00","85.20","178","22.980","8.770","0.000","0.000","0.000","14.000","0.760","354.000","65.000","0.000","0.416","0.322","6.327","0.000","0.426","0.570","0.000","0.000","8.000","0.230","0.300","0.000","2.864","3.674","1.868","72.000","0.000","0.000",
"5010","2563","Pork leg (ham), rump half, lean only, roasted","Pork leg (ham), rump half, lean only, roasted","9","oz","0.00","1.00","28.40","47","8.180","1.310","0.000","0.000","0.000","5.000","0.270","120.000","23.000","0.000","0.148","0.116","2.251","0.000","0.153","0.190","0.000","0.000","1.000","0.070","0.100","0.000","0.411","0.532","0.302","24.000","0.000","0.000",
"5012","2565","Pork leg (ham), shank half, lean and fat, roasted","Pork leg (ham), shank half, lean and fat, roasted","9","oz","0.00","1.00","28.40","66","7.360","3.800","0.000","0.000","0.000","4.000","0.250","98.000","23.000","0.000","0.117","0.100","2.114","0.000","0.125","0.140","0.000","0.000","4.000","0.070","0.200","0.000","1.307","1.650","0.692","26.000","0.000","0.000",
"5014","2567","Pork leg (ham), shank half, lean only, roasted","Pork leg (ham), shank half, lean only, roasted","9","oz","0.00","1.00","28.40","50","8.130","1.650","0.000","0.000","0.000","4.000","0.260","107.000","24.000","0.000","0.125","0.106","2.291","0.000","0.136","0.140","0.000","0.000","1.000","0.070","0.100","0.000","0.521","0.704","0.320","26.000","0.000","0.000",
"5030","2577","Pork blade (chops), bone-in, lean and fat, braised","Pork blade (chops), bone-in, lean and fat, braised","9","oz","0.00","1.00","28.40","72","7.520","4.450","0.000","0.000","0.000","14.000","0.230","73.000","20.000","0.000","0.138","0.090","2.093","0.000","0.138","0.180","0.000","0.000","4.000","0.060","0.300","0.000","1.272","1.436","0.552","24.000","0.000","0.000",
"5031","2578","Pork blade (chops), bone-in, lean and fat, broiled","Pork blade (chops), bone-in, lean and fat, broiled","9","oz","0.00","1.00","28.40","65","6.720","4.070","0.000","0.000","0.000","16.000","0.250","89.000","21.000","0.000","0.139","0.089","2.247","0.000","0.139","0.190","0.000","0.000","4.000","0.060","0.300","0.000","1.230","1.385","0.537","22.000","0.000","0.000",
"5032","2579","Pork blade (roasts), bone-in, lean and fat, roasted","Pork blade (roasts), bone-in, lean and fat, roasted","9","oz","0.00","1.00","28.40","72","6.890","4.740","0.000","0.000","0.000","9.000","0.230","90.000","22.000","0.000","0.137","0.107","1.901","0.000","0.124","0.220","0.000","0.000","3.000","0.060","0.300","0.000","1.673","1.895","0.699","24.000","0.000","0.000",
"5034","2581","Pork blade (chops), bone-in, lean only, braised","Pork blade (chops), bone-in, lean only, braised","9","oz","0.00","1.00","28.40","63","7.940","3.200","0.000","0.000","0.000","14.000","0.240","77.000","20.000","0.000","0.144","0.094","2.156","0.000","0.146","0.170","0.000","0.000","2.000","0.060","0.300","0.000","0.734","0.856","0.299","25.000","0.000","0.000",
"5035","2582","Pork blade (chops), bone-in, lean only, broiled","Pork blade (chops), bone-in, lean only, broiled","9","oz","0.00","1.00","28.40","55","7.080","2.710","0.000","0.000","0.000","16.000","0.260","94.000","22.000","0.000","0.145","0.093","2.330","0.000","0.147","0.190","0.000","0.000","2.000","0.070","0.300","0.000","0.658","0.767","0.268","22.000","0.000","0.000",
