"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"1427","771","Chicken, broilers or fryers, meat and skin and giblets and neck, fried with batter","Chicken, broilers or fryers, meat and skin and giblets and neck, fried with batter","4","oz","0.00","1.00","28.40","82","6.480","4.970","2.560","0.000","0.000","6.000","0.510","54.000","81.000","0.100","0.032","0.070","2.008","0.000","0.091","0.240","9.000","3.000","171.000","0.000","0.000","0.000","1.324","2.021","1.177","29.000","0.000","0.000",
"1428","772","Chicken, broilers or fryers, meat and skin and giblets and neck, fried with flour","Chicken, broilers or fryers, meat and skin and giblets and neck, fried with flour","4","oz","0.00","1.00","28.40","77","8.100","4.330","0.930","0.000","0.000","5.000","0.560","67.000","24.000","0.100","0.025","0.079","2.532","0.000","0.119","0.310","9.000","1.000","234.000","0.000","0.000","0.000","1.179","1.698","0.995","32.000","0.000","0.000",
"1429","773","Chicken, broilers or fryers, meat and skin and giblets and neck, roasted","Chicken, broilers or fryers, meat and skin and giblets and neck, roasted","4","oz","0.00","1.00","28.40","66","7.590","3.760","0.020","0.000","0.000","4.000","0.470","60.000","22.000","0.100","0.018","0.064","2.242","0.000","0.108","0.270","8.000","0.000","180.000","0.090","0.000","0.700","1.049","1.466","0.822","30.000","0.000","0.000",
"1430","774","Chicken, broilers or fryers, meat and skin and giblets and neck, stewed","Chicken, broilers or fryers, meat and skin and giblets and neck, stewed","4","oz","0.00","1.00","28.40","61","6.940","3.510","0.020","0.000","0.000","4.000","0.430","46.000","19.000","0.100","0.014","0.057","1.528","0.000","0.062","0.220","8.000","0.000","164.000","0.000","0.000","0.000","0.978","1.366","0.765","27.000","0.000","0.000",
"1432","776","Chicken, broilers or fryers, meat and skin, fried with batter","Chicken, broilers or fryers, meat and skin, fried with batter","4","oz","0.00","1.00","28.40","82","6.390","4.920","2.670","0.100","0.000","6.000","0.390","52.000","83.000","0.000","0.033","0.054","1.997","0.000","0.088","0.080","5.000","3.000","26.000","0.350","0.100","0.700","1.307","2.010","1.162","25.000","0.000","0.000",
"1433","777","Chicken, broilers or fryers, meat and skin, fried with flour","Chicken, broilers or fryers, meat and skin, fried with flour","4","oz","0.00","1.00","28.40","76","8.100","4.230","0.890","0.000","0.000","5.000","0.390","66.000","24.000","0.000","0.025","0.055","2.549","0.000","0.116","0.090","3.000","1.000","25.000","0.180","0.000","0.700","1.151","1.670","0.967","26.000","0.000","0.000",
"1434","778","Chicken, broilers or fryers, meat and skin, roasted","Chicken, broilers or fryers, meat and skin, roasted","4","oz","0.00","1.00","28.40","68","7.740","3.860","0.000","0.000","0.000","4.000","0.360","63.000","23.000","0.000","0.018","0.048","2.406","0.000","0.113","0.090","1.000","0.000","46.000","0.080","0.000","0.700","1.074","1.514","0.842","25.000","0.000","0.000",
"1435","778","Chicken, broilers or fryers, meat and skin, roasted","Chicken, broilers or fryers, meat and skin, roasted","4","cup, chopped or dice","48.00","0.00","139.91","335","38.220","19.040","0.000","0.000","0.000","21.000","1.760","312.000","115.000","0.000","0.088","0.235","11.882","0.000","0.560","0.420","7.000","0.000","225.000","0.380","0.000","3.400","5.306","7.476","4.158","123.000","0.000","0.000",
"1436","779","Chicken, broilers or fryers, meat and skin, stewed","Chicken, broilers or fryers, meat and skin, stewed","4","oz","0.00","1.00","28.40","62","7.000","3.560","0.000","0.000","0.000","4.000","0.330","47.000","19.000","0.000","0.013","0.042","1.586","0.000","0.062","0.060","1.000","0.000","41.000","0.080","0.000","0.600","0.992","1.398","0.777","22.000","0.000","0.000",
"1437","779","Chicken, broilers or fryers, meat and skin, stewed","Chicken, broilers or fryers, meat and skin, stewed","4","cup, chopped or dice","48.00","0.00","140.63","307","34.550","17.580","0.000","0.000","0.000","18.000","1.620","232.000","94.000","0.000","0.064","0.207","7.832","0.000","0.308","0.280","7.000","0.000","204.000","0.380","0.000","2.900","4.900","6.902","3.836","109.000","0.000","0.000",
"1439","781","Chicken, broilers or fryers, meat only, fried","Chicken, broilers or fryers, meat only, fried","4","oz","0.00","1.00","28.40","62","8.670","2.590","0.480","0.000","0.000","5.000","0.380","73.000","26.000","0.000","0.024","0.056","2.739","0.000","0.136","0.100","2.000","0.000","17.000","0.130","0.000","0.800","0.697","0.950","0.610","27.000","0.000","0.000",
"1440","781","Chicken, broilers or fryers, meat only, fried","Chicken, broilers or fryers, meat only, fried","4","cup, chopped or dice","48.00","0.00","140.63","307","42.800","12.770","2.370","0.100","0.000","24.000","1.890","360.000","127.000","0.000","0.119","0.277","13.528","0.000","0.672","0.480","10.000","0.000","83.000","0.640","0.100","3.900","3.444","4.690","3.010","132.000","0.000","0.000",
"1442","782","Chicken, broilers or fryers, meat only, roasted","Chicken, broilers or fryers, meat only, roasted","4","cup, chopped or dice","48.00","0.00","0.00","266","40.500","10.370","0.000","0.000","0.000","21.000","1.690","340.000","120.000","0.000","0.097","0.249","12.842","0.000","0.658","0.460","8.000","0.000","74.000","0.380","0.100","3.400","2.856","3.724","2.366","125.000","0.000","0.000",
"1443","782","Chicken, broilers or fryers, meat only, roasted","Chicken, broilers or fryers, meat only, roasted","4","tbsp","3.00","0.00","0.00","17","2.520","0.640","0.000","0.000","0.000","1.000","0.110","21.000","7.000","0.000","0.006","0.015","0.798","0.000","0.041","0.030","1.000","0.000","5.000","0.020","0.000","0.200","0.177","0.231","0.147","8.000","0.000","0.000",
"1445","783","Chicken, broilers or fryers, meat only, stewed","Chicken, broilers or fryers, meat only, stewed","4","cup, chopped or dice","48.00","0.00","0.00","248","38.210","9.390","0.000","0.000","0.000","20.000","1.640","252.000","98.000","0.000","0.069","0.228","8.564","0.000","0.364","0.310","8.000","0.000","70.000","0.380","0.100","3.400","2.576","3.346","2.156","116.000","0.000","0.000",
"1446","783","Chicken, broilers or fryers, meat only, stewed","Chicken, broilers or fryers, meat only, stewed","4","tbsp","3.00","0.00","0.00","15","2.370","0.580","0.000","0.000","0.000","1.000","0.100","16.000","6.000","0.000","0.004","0.014","0.532","0.000","0.023","0.020","1.000","0.000","4.000","0.020","0.000","0.200","0.160","0.208","0.134","7.000","0.000","0.000",
"1448","785","Chicken, broilers or fryers, skin only, fried with batter","Chicken, broilers or fryers, skin only, fried with batter","4","oz","0.00","1.00","28.40","112","2.930","8.170","6.560","0.000","0.000","7.000","0.410","21.000","165.000","0.000","0.049","0.050","0.947","0.000","0.017","0.050","11.000","9.000","39.000","0.000","0.100","0.000","2.157","3.501","1.936","21.000","0.000","0.000",
"1449","786","Chicken, broilers or fryers, skin only, fried with flour","Chicken, broilers or fryers, skin only, fried with flour","4","oz","0.00","1.00","28.40","142","5.410","12.070","2.650","0.000","0.000","4.000","0.430","35.000","15.000","0.000","0.027","0.047","1.649","0.000","0.028","0.050","9.000","8.000","66.000","0.000","0.000","0.000","3.308","5.106","2.676","21.000","0.000","0.000",
"1450","787","Chicken, broilers or fryers, skin only, roasted","Chicken, broilers or fryers, skin only, roasted","4","oz","0.00","1.00","28.40","129","5.770","11.530","0.000","0.000","0.000","4.000","0.430","39.000","18.000","0.000","0.010","0.036","1.582","0.000","0.028","0.060","1.000","0.000","74.000","0.110","0.100","0.700","3.238","4.828","2.430","24.000","0.000","0.000",
"1451","788","Chicken, broilers or fryers, skin only, stewed","Chicken, broilers or fryers, skin only, stewed","4","oz","0.00","1.00","28.40","103","4.310","9.370","0.000","0.000","0.000","3.000","0.320","33.000","16.000","0.000","0.010","0.027","1.065","0.000","0.014","0.030","1.000","0.000","56.000","0.000","0.100","0.000","2.631","3.921","1.973","18.000","0.000","0.000",
"1453","790","Chicken, broilers or fryers, giblets, fried","Chicken, broilers or fryers, giblets, fried","4","oz","0.00","1.00","28.40","79","9.230","3.820","1.230","0.000","0.000","5.000","2.930","94.000","32.000","2.500","0.027","0.432","3.115","0.000","0.173","3.770","107.000","0.000","3382.000","0.000","0.000","0.000","1.077","1.253","0.958","126.000","0.000","0.000",
"1454","790","Chicken, broilers or fryers, giblets, fried","Chicken, broilers or fryers, giblets, fried","4","cup, chopped or dice","48.00","0.00","144.52","402","47.180","19.520","6.310","0.000","0.000","26.000","14.960","478.000","164.000","12.600","0.141","2.210","15.931","0.000","0.885","19.300","550.000","0.000","17297.000","0.000","0.000","0.000","5.510","6.409","4.901","647.000","0.000","0.000",
"1455","791","Chicken, broilers or fryers, giblets, simmered","Chicken, broilers or fryers, giblets, simmered","4","oz","0.00","1.00","28.40","45","7.700","1.280","0.000","0.000","0.000","4.000","2.000","64.000","19.000","3.500","0.041","0.298","1.878","0.000","0.113","2.680","73.000","0.000","1664.000","0.130","0.000","0.000","0.375","0.273","0.230","125.000","0.000","0.000",
"1456","791","Chicken, broilers or fryers, giblets, simmered","Chicken, broilers or fryers, giblets, simmered","4","cup chopped or dice","48.00","0.00","143.89","228","39.370","6.520","0.000","0.000","0.000","20.000","10.210","325.000","97.000","18.100","0.207","1.525","9.606","0.000","0.576","13.690","373.000","0.000","8510.000","0.670","0.000","0.000","1.917","1.395","1.177","641.000","0.000","0.000",
"1459","793","Chicken, gizzard, all classes, simmered","Chicken, gizzard, all classes, simmered","4","oz","0.00","1.00","28.40","44","8.620","0.760","0.000","0.000","0.000","5.000","0.900","51.000","16.000","0.000","0.007","0.060","0.885","0.000","0.020","0.290","1.000","0.000","0.000","0.060","0.000","0.000","0.190","0.150","0.100","105.000","0.000","0.000",
"1460","793","Chicken, gizzard, all classes, simmered","Chicken, gizzard, all classes, simmered","4","cup chopped or dice","48.00","0.00","143.94","223","44.070","3.890","0.000","0.000","0.000","25.000","4.630","260.000","81.000","0.000","0.038","0.304","4.524","0.000","0.103","1.510","7.000","0.000","0.000","0.290","0.000","0.000","0.972","0.766","0.512","536.000","0.000","0.000",
