"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"6239","2883","Alfalfa sprouts","Alfalfa seeds, sprouted, raw","10","cup","48.00","0.00","0.00","8","1.320","0.230","0.690","0.600","0.060","11.000","0.320","26.000","2.000","2.700","0.025","0.042","0.159","0.000","0.011","0.000","12.000","0.000","51.000","0.010","0.000","10.100","0.023","0.018","0.135","0.000","0.000","0.000",
"6240","2883","Alfalfa sprouts","Alfalfa seeds, sprouted, raw","10","tbsp","3.00","0.00","0.00","1","0.120","0.020","0.060","0.100","0.010","1.000","0.030","2.000","0.000","0.200","0.002","0.004","0.014","0.000","0.001","0.000","1.000","0.000","5.000","0.000","0.000","0.900","0.002","0.002","0.012","0.000","0.000","0.000",
"6242","2884","Amaranth leaves","Amaranth leaves, raw","10","cup","48.00","0.00","0.00","6","0.690","0.090","1.130","0.000","0.000","60.000","0.650","171.000","6.000","12.100","0.008","0.044","0.184","0.000","0.054","0.000","24.000","0.000","817.000","0.000","0.000","319.200","0.025","0.021","0.041","0.000","0.000","0.000",
"6244","2885","Amaranth leaves, boiled,drained","Amaranth leaves, boiled and drained, without salt","10","cup","48.00","0.00","0.00","28","2.790","0.240","5.430","0.000","0.000","276.000","2.980","846.000","28.000","54.300","0.026","0.177","0.738","0.000","0.234","0.000","75.000","0.000","3656.000","0.000","0.000","0.000","0.066","0.054","0.106","0.000","0.000","0.000",
"6246","2886","Arrowhead","Arrowhead, raw","10","large","0.00","0.00","0.00","25","1.330","0.070","5.060","0.000","0.000","2.000","0.640","230.000","6.000","0.300","0.042","0.018","0.412","0.000","0.065","0.000","4.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"6247","2886","Arrowhead","Arrowhead, raw","10","medium","0.00","0.00","0.00","12","0.640","0.030","2.430","0.000","0.000","1.000","0.310","111.000","3.000","0.100","0.020","0.009","0.198","0.000","0.031","0.000","2.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"6249","2887","Arrowhead, boiled, drained","Arrowhead, boiled and drained, without salt","10","medium","0.00","0.00","0.00","9","0.540","0.010","1.940","0.000","0.000","1.000","0.150","106.000","2.000","0.000","0.017","0.007","0.139","0.000","0.025","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"6254","2889","Artichoke","Artichokes, (globe or french), boiled and drained, without salt","10","artichoke, medium","34.13","0.00","0.00","64","3.470","0.410","14.340","10.300","1.190","25.000","0.730","343.000","72.000","8.900","0.060","0.107","1.332","0.000","0.097","0.000","107.000","0.000","16.000","0.230","0.000","17.800","0.097","0.013","0.172","0.000","0.000","0.000",
"6255","2889","Artichoke","Artichokes, (globe or french), boiled and drained, without salt","10","0.5 cup hearts","24.00","0.00","0.00","45","2.430","0.290","10.040","7.200","0.830","18.000","0.510","240.000","50.000","6.200","0.042","0.075","0.932","0.000","0.068","0.000","75.000","0.000","11.000","0.160","0.000","12.400","0.068","0.009","0.120","0.000","0.000","0.000",
"6259","2891","Artichokes, frozen, boiled, drained","Artichokes, (globe or french), frozen, boiled and drained, without salt","10","cup","48.00","0.00","539.60","76","5.220","0.840","15.420","7.700","1.410","35.000","0.940","444.000","89.000","8.400","0.104","0.265","1.537","0.000","0.146","0.000","200.000","0.000","18.000","0.270","0.000","21.200","0.200","0.025","0.363","0.000","0.000","0.000",
